Id,Address,Latitude,Longitude,Time,Deaths_and_Injuries,Vehicles
1,臺南市北區大和路,23.01333762622 ,120.18993767586 ,106年01月01日 01時05分00秒,死亡0;受傷1,普通重型-機車;計程車-小客車
2,臺南市歸仁區六甲里凱旋路三段前0.0公尺,22.95047984878 ,120.27754504772 ,106年01月01日 01時20分00秒,死亡0;受傷1,普通重型-機車
3,臺南市七股區南42線公路081119號燈桿旁南向車道,23.14060000000 ,120.13896000000 ,106年01月01日 01時40分00秒,死亡0;受傷1,普通重型-機車
4,臺南市中西區正興街,22.99434182236 ,120.19734006909 ,106年01月01日 02時00分00秒,死亡0;受傷3,普通重型-機車;普通重型-機車;乘客-人
5,臺南市北區成功路,22.99749553107 ,120.21218718757 ,106年01月01日 02時10分00秒,死亡0;受傷1,普通重型-機車;普通重型-機車
6,臺南市新市區臺1線與新港社大道路口,23.07982670762 ,120.27646618041 ,106年01月01日 04時20分00秒,死亡0;受傷1,自用-小客車;普通重型-機車
7,臺南市東區裕信路,22.97669705036 ,120.24478990648 ,106年01月01日 05時15分00秒,死亡0;受傷1,普通重型-機車;自用-小客車
8,臺南市安定區,23.12176000000 ,120.23727000000 ,106年01月01日 05時30分00秒,死亡0;受傷1,自用-小貨車(含客、貨兩用);自用-小客車
9,臺南市新化區竹仔腳177之12號,23.06822612257 ,120.34669984456 ,106年01月01日 07時10分00秒,死亡0;受傷1,普通重型-機車
10,臺南市七股區台17線公路與南38線路口,23.10349369628 ,120.15300264944 ,106年01月01日 07時15分00秒,死亡0;受傷1,普通重型-機車;腳踏自行車-慢車
11,臺南市佳里區四維三街101號前一般車道,23.15038964141 ,120.17514549709 ,106年01月01日 07時25分00秒,死亡0;受傷1,自用-小貨車(含客、貨兩用);行人-人
12,臺南市白河區165線道10.1公里處,23.35020077688 ,120.41540400537 ,106年01月01日 08時25分00秒,死亡0;受傷3,普通重型-機車;行人-人;乘客-人
13,臺南市永康區中華路,23.00810215300 ,120.23414379625 ,106年01月01日 08時38分00秒,死亡0;受傷1,普通重型-機車;普通重型-機車
