緯度,經度,案件編號,立案案號
23.011546,120.206343, UN201504180002 , A-TB-2015-17137 
22.99831,120.197992, UN201504180050 , A-TB-2015-17176 
22.9977689,120.1991314, UN201504180093 , A-TB-2015-17226 
22.9884453,120.2340608, UN201504180095 , A-TB-2015-17229 
22.9767219,120.214212, UN201504180098 , A-TB-2015-17207 
23.0032938,120.2208225, UN201504180111 , A-TB-2015-17216 
22.9795269,120.2129989, UN201504180112 , A-TB-2015-17166 
22.994134,120.210059, UN201504180114 , A-TB-2015-17172 
22.9989172,120.2161253, UN201504180129 , A-TB-2015-17186 
22.9928678,120.1714668, UN201504180136 , A-TB-2015-17238 
22.995051,120.2208563, UN201504180138 , A-TB-2015-17194 
23.0208947,120.2304779, UN201504180147 , A-TB-2015-17217 
22.9867747,120.1986997, UN201504180150 , A-TB-2015-17241 
22.993506,120.197385, UN201504180170 , A-TB-2015-17252 
22.9972343,120.211936, UN201504180178 , A-TB-2015-17250 
22.9974962,120.200163, UN201504180179 , A-TB-2015-17247 
22.9976603,120.2105929, UN201504180185 , A-TB-2015-17255 
22.9972343,120.211936, UN201504180190 , A-TB-2015-17256 
23.0418152,120.2368992, UN201504180191 , A-TB-2015-17258 
22.9900265,120.2279758, UN201504180196 , A-TB-2015-17259 
23.0032654,120.2210776, UN201504180242 , A-TB-2015-17288 
22.9853602,120.1976822, UN201504180243 , A-TB-2015-17289 
23.0189545,120.2628467, UN201504180250 , A-TB-2015-17297 
22.9789252,120.2223336, UN201504180251 , A-TB-2015-17295 
22.9972637,120.1719478, UN201504180254 , A-TB-2015-17301 
22.9952511,120.2182157, UN201504180257 , A-TB-2015-17303 
22.998317,120.1962631, UN201504190018 , A-TB-2015-17323 
23.2295536,120.3513633, UN201504190028 , A-TB-2015-17328 
22.9916869,120.2105063, UN201504190055 , A-TB-2015-17336 
23.184604,120.242004, UN201504190057 , A-TB-2015-17341 
22.9945141,120.2016061, UN201504190060 , A-TB-2015-17342 
22.998935,120.200989, UN201504190062 , A-TB-2015-17344 
22.9893421,120.2372525, UN201504190074 , A-TB-2015-17348 
22.995051,120.2208563, UN201504190075 , A-TB-2015-17362 
23.0084041,120.193078, UN201504190078 , A-TB-2015-17358 
22.9867989,120.2334952, UN201504190086 , A-TB-2015-17355 
22.981974,120.204977, UN201504190090 , A-TB-2015-17352 
22.9985686,120.175877, UN201504190091 , A-TB-2015-17360 
22.9938716,120.2093781, UN201504190100 , A-TB-2015-17367 
