緯度,經度,案件編號,立案案號,事項
23.0002171,120.2247351, UN201601010126 , A-TB-2016-72 , 小廣告旗幟 
23.0095204,120.2057113, UN201601010149 , A-TB-2016-82 , 小廣告旗幟 
23.0840684,120.3558445, UN201601010171 , A-TB-2016-99 , 道路散落物 
22.9890622,120.204325, UN201601010213 , A-TB-2016-118 , 環境髒亂 
23.3078862,120.3008154, UN201601010223 , A-TB-2016-124 , 其他汙染舉發 
22.9929344,120.1971214, UN201601020121 , A-TB-2016-274 , 環境髒亂 
22.9929344,120.1971214, UN201601020131 , A-TB-2016-281 , 環境髒亂 
23.0430116,120.1898655, UN201601020151 , A-TB-2016-293 , 場所連續噪音 
22.9704429,120.2321014, UN201601020210 , A-TB-2016-326 , 佔用道路 
23.1379762,120.1140622, UN201601030064 , A-TB-2016-413 , 其他汙染舉發 
23.3188129,120.307231, UN201601030190 , A-TB-2016-487 , 市區道路路面油漬 
23.1250368,120.0876021, UN201601040220 , A-TB-2016-507 , 其他汙染舉發 
23.0242496,120.1922238, UN201601040232 , A-TB-2016-521 , 環境髒亂 
23.3284804,120.374498, UN201601040255 , A-TB-2016-529 , 小廣告旗幟 
22.9724054,120.2509195, UN201601040313 , A-TB-2016-549 , 道路散落物 
23.0207968,120.2012504, UN201601040324 , A-TB-2016-555 , 道路散落物 
23.005282,120.1800757, UN201601040437 , A-TB-2016-646 , 小廣告旗幟 
22.9761614,120.3153224, UN201601040557 , A-TB-2016-705 , 道路散落物 
23.0928704,120.2860335, UN201601050017 , A-TB-2016-750 , 其他汙染舉發 
23.0207691,120.223233, UN201601050046 , A-TB-2016-767 , 環境髒亂 
23.0573063,120.0958784, UN201601050049 , A-TB-2016-838 , 場所連續噪音 
22.9222056,120.2242975, UN201601050099 , A-TB-2016-829 , 場所連續噪音 
23.0084261,120.18111, UN201601050222 , A-TB-2016-881 , 小廣告旗幟 
23.0129812,120.2161871, UN201601060020 , A-TB-2016-993 , 環境髒亂 
23.0068602,120.1861036, UN201601060045 , A-TB-2016-1034 , 道路散落物 
23.053181,120.189816, UN201601060073 , A-TB-2016-1025 , 環境髒亂 
23.0504679,120.2765118, UN201601060291 , A-TB-2016-1177 , 環境髒亂 
23.1582205,120.1718659, UN201601070031 , A-TB-2016-1289 , 場所連續噪音 
23.0517287,120.2756017, UN201601070091 , A-TB-2016-1271 , 環境髒亂 
23.1712482,120.2607719, UN201601070204 , A-TB-2016-1343 , 道路散落物 
23.0180194,120.2077316, UN201601070269 , A-TB-2016-1374 , 其他汙染舉發 
23.2549591,120.1715625, UN201601070317 , A-TB-2016-1408 , 道路散落物 
23.0028468,120.202883, UN201601080037 , A-TB-2016-1450 , 其他汙染舉發 
22.9919034,120.2087051, UN201601080066 , A-TB-2016-1453 , 小廣告旗幟 
23.3072506,120.2948681, UN201601090089 , A-TB-2016-1714 , 道路散落物 
23.0429376,120.2396538, UN201601100034 , A-TB-2016-1868 , 場所連續噪音 
22.9674928,120.1778874, UN201601100225 , A-TB-2016-1981 , 違規停車 
22.9590414,120.1904563, UN201601110045 , A-TB-2016-2037 , 市區道路路面油漬 
22.9701866,120.2092029, UN201601110332 , A-TB-2016-2200 , 其他汙染舉發 
23.0087429,120.2416784, UN201601120009 , A-TB-2016-2218 , 道路散落物 
22.9971618,120.1720251, UN201601120011 , A-TB-2016-2219 , 場所連續噪音 
22.9952406,120.1945065, UN201601120014 , A-TB-2016-2222 , 環境髒亂 
23.0107232,120.2244481, UN201601120093 , A-TB-2016-2262 , 場所連續噪音 
22.9981901,120.1697051, UN201601120250 , A-TB-2016-2373 , 環境髒亂 
23.0106332,120.2248555, UN201601130180 , A-TB-2016-2526 , 場所連續噪音 
23.0386614,120.3095323, UN201601140129 , A-TB-2016-2763 , 道路散落物 
22.9828973,120.2257251, UN201601140244 , A-TB-2016-2833 , 場所連續噪音 
23.0482102,120.1850384, UN201601140258 , A-TB-2016-2829 , 其他汙染舉發 
23.0287576,120.2235468, UN201601150107 , A-TB-2016-2934 , 其他汙染舉發 
23.2319366,120.3468689, UN201601150157 , A-TB-2016-2964 , 道路散落物 
22.9909422,120.1949824, UN201601150239 , A-TB-2016-3007 , 環境髒亂 
